2020-09-13,2647,7376
2020-09-14,644,1591
2020-09-14,4074,8993
2020-09-15,859,1937
2020-09-15,3397,8841
2020-09-16,2630,4398
2020-09-16,7829,15815
2020-09-17,1947,3258
2020-09-17,4824,11661
2020-09-18,928,2162
2020-09-18,3850,9313
2020-09-19,765,1375
2020-09-19,1704,4369
2020-09-20,263,684
2020-09-20,1642,4492
2020-09-21,293,823
2020-09-21,1821,6321
2020-09-22,518,1423
2020-09-22,3042,10112
2020-09-23,858,2223
2020-09-23,2706,7890
2020-09-24,650,1387
2020-09-24,1613,5203
2020-09-25,281,1009
2020-09-25,1273,4727
2020-09-26,158,552
2020-09-26,1515,5063
2020-09-27,254,836
2020-09-27,1108,3833
2020-09-28,216,865
2020-09-28,1260,4508
2020-09-29,419,1302
2020-09-29,1802,5449
2020-09-30,538,2399
2020-09-30,1297,5074
2020-10-01,223,867
2020-10-01,1069,4520
2020-10-02,274,877
2020-10-02,3899,9470
2020-10-03,644,1500
2020-10-03,3010,7604
2020-10-04,817,1815
2020-10-04,2606,6498
2020-10-05,436,1220
2020-10-05,1849,5753
2020-10-06,592,1414
2020-10-06,2171,6347
2020-10-07,471,1344
2020-10-07,2323,7419
2020-10-08,913,3674
2020-10-08,2246,7509
2020-10-09,500,1654
2020-10-09,2726,7549
2020-10-10,551,1497
2020-10-10,2153,5912
2020-10-11,285,855
2020-10-11,2108,5400
2020-10-12,521,1200
2020-10-12,1526,7075
2020-10-13,337,1285
2020-10-13,1819,6028
2020-10-14,287,1345
2020-10-14,1241,4509
2020-10-15,472,1133
2020-10-15,1069,4525
2020-10-16,332,1302
2020-10-16,1307,4567
2020-10-17,262,939
2020-10-17,1716,4864
2020-10-18,552,1099
2020-10-18,2294,6079
2020-10-19,553,1743
2020-10-19,2627,8802
2020-10-20,731,1549
2020-10-20,2069,5948
2020-10-21,521,1639
2020-10-21,2643,8033
2020-10-22,551,1504
2020-10-22,2001,6292
2020-10-23,947,2885
2020-10-23,1549,5830
2020-10-24,284,1225
2020-10-24,1294,5563
2020-10-25,281,939
2020-10-25,1331,5365
2020-10-26,301,1270
2020-10-26,1400,6072
2020-10-27,190,1111
2020-10-27,1338,5463
2020-10-28,282,1240
2020-10-28,1188,4959
2020-10-29,280,988
2020-10-29,1254,5238
2020-10-30,339,1156
2020-10-30,1188,4640
2020-10-31,267,987
2020-10-31,1219,4767
2020-11-01,268,842
